A1,A2,A3,A4,A6,A8,A10,A12,A13,A15,A17,A18,A19,A21,A22,A23,A25,A27,B1,B2,B3,B6,B8,B12,B13,B14,id,A5_o,A7_o,A9_o,A11_o,A14_o,A16_o,A20_per_o,A20_last_o,A24_o,A26_o,A28_per_o,A28_last_o,B4_per_o,B4_last_o,B5_o,B7_o,B9_per_o,B9_last_o,B10_per_o,B10_last_o,B11_per_o,B11_last_o
300,,405.0,700,29.0,,101,103.0,0.2,105.0,106.0,0.2,200,50.0,9.0,5.0,80.0,73.0,320.0,3.5,3.5,79,45.0,1200.0,0.15,400,sample_1656,0,0,79200,82800,82800,82800,0,82800,0,82800,0,82800,0,82800,0,79200,0,81000,0,81000,0,82800
300,,405.0,700,39.0,80.0,100,102.0,0.2,103.0,102.0,0.2,300,50.0,9.0,5.0,76.0,75.0,350.0,3.5,3.5,65,45.0,800.0,0.15,385,sample_1548,0,85200,81000,82800,82800,82800,76800,84600,84600,84600,55800,84600,0,81600,0,78600,79200,82800,82800,81000,0,0
300,,405.0,700,80.0,,102,104.0,0.2,104.0,105.0,0.2,200,50.0,9.0,5.0,80.0,73.0,320.0,3.5,3.5,80,45.0,1200.0,0.15,440,sample_769,0,0,79200,82800,82800,82800,0,82800,0,82800,0,82800,0,82800,0,79200,0,75600,0,0,0,0
300,,405.0,700,29.0,,102,103.0,0.2,104.0,105.0,0.2,200,50.0,9.0,5.0,78.0,73.0,320.0,3.5,3.5,80,45.0,1200.0,0.15,400,sample_1881,0,0,79200,82800,82800,82800,0,82800,0,82800,0,82800,0,82800,0,79200,0,81000,0,81000,0,82800
300,,405.0,700,30.0,,101,104.0,0.2,106.0,107.0,0.2,200,50.0,9.0,5.0,79.0,72.0,320.0,3.5,3.5,79,45.0,1200.0,0.15,400,sample_1807,0,0,79200,82800,82800,82800,0,82800,0,82800,0,82800,0,82800,0,79200,0,81000,0,81000,0,82800
300,,405.0,700,29.0,,101,103.0,0.2,104.0,105.0,0.2,200,50.0,9.0,5.0,80.0,73.0,320.0,3.5,3.5,80,45.0,1200.0,0.15,400,sample_145,0,0,79200,82800,82800,82800,0,82800,0,82800,0,82800,0,82800,0,79200,0,81000,0,81000,0,82800
300,,405.0,700,29.0,,101,102.0,0.2,103.0,104.0,0.2,200,50.0,9.0,5.0,78.0,73.0,320.0,3.5,3.5,75,45.0,1200.0,0.15,400,sample_1212,0,0,79200,82800,82800,82800,0,82800,0,82800,0,82800,0,82800,0,79200,0,81000,0,81000,0,82800
300,,405.0,700,24.0,,100,103.0,0.2,106.0,106.0,0.2,300,50.0,9.0,5.0,70.0,75.0,350.0,3.5,3.5,64,45.0,900.0,0.15,400,sample_944,0,0,82800,82800,82800,82800,85800,84600,85200,84600,0,82800,84600,82800,0,79200,85800,82800,85200,82200,0,0
300,,405.0,700,30.0,,102,103.0,0.2,104.0,105.0,0.2,200,50.0,9.0,5.0,80.0,73.0,320.0,3.5,3.5,80,45.0,1200.0,0.15,440,sample_829,0,0,79200,82800,82800,82800,0,82800,0,82800,0,82800,0,82800,0,79200,0,72000,0,0,0,0
300,,405.0,700,28.0,,102,103.0,0.2,104.0,105.0,0.2,200,50.0,9.0,5.0,80.0,73.0,320.0,3.5,3.5,80,45.0,1200.0,0.15,400,sample_616,0,0,79200,82800,82800,82800,0,82800,0,82800,0,82800,0,82800,0,79200,0,81000,0,81000,0,82800
300,,405.0,700,29.0,,101,103.0,0.2,104.0,105.0,0.2,200,50.0,9.0,5.0,78.0,73.0,320.0,3.5,3.5,80,45.0,1200.0,0.15,420,sample_1690,0,0,79200,82800,82800,82800,0,82800,0,82800,0,82800,0,82800,0,79200,0,81000,0,81000,0,82800
300,,405.0,700,29.0,,101,103.0,0.2,104.0,105.0,0.2,200,50.0,9.0,5.0,80.0,73.0,320.0,3.5,3.5,79,45.0,1200.0,0.15,420,sample_114,0,0,79200,82800,82800,82800,0,82800,0,82800,0,82800,0,82800,0,79200,0,81000,0,81000,0,82800
300,,405.0,700,29.0,,102,103.0,0.2,104.0,105.0,0.2,200,50.0,9.0,5.0,80.0,73.0,1200.0,0.15,3.5,79,45.0,1200.0,0.15,400,sample_185,0,0,79200,82800,82800,82800,0,82800,0,82800,0,82800,0,82800,0,79200,0,81000,0,81000,0,82800
300,,405.0,700,29.0,,101,103.0,0.2,104.0,105.0,0.2,200,50.0,9.0,5.0,80.0,73.0,320.0,3.5,3.5,80,45.0,1200.0,0.15,420,sample_1141,0,0,79200,82800,82800,82800,0,82800,0,82800,0,82800,0,82800,0,79200,0,81000,0,81000,0,82800
300,,405.0,700,30.0,,100,103.0,0.2,103.0,104.0,0.2,300,50.0,10.0,5.0,70.0,75.0,350.0,3.5,3.5,65,45.0,800.0,0.15,400,sample_1460,0,0,81000,82800,82800,82800,82800,84600,0,84600,65700,84300,0,82800,0,78600,84600,81000,82800,84600,0,0
300,,405.0,700,29.0,,101,103.0,0.2,104.0,105.0,0.2,200,50.0,9.0,5.0,80.0,73.0,320.0,3.5,3.5,80,45.0,1200.0,0.15,400,sample_1835,0,0,79200,82800,82800,82800,0,82800,0,82800,0,82800,0,82800,0,79200,0,81000,0,81000,0,82800
300,,405.0,700,80.0,,100,102.0,0.2,103.0,104.0,0.2,300,50.0,9.0,5.0,70.0,75.0,350.0,3.5,3.5,60,45.0,800.0,0.15,400,sample_1539,0,0,79200,82800,82800,82800,75600,84600,0,84600,48600,84600,1800,82800,0,64800,84600,81000,82800,81000,0,0
300,,405.0,700,22.0,,101,103.0,0.2,101.0,104.0,0.2,200,50.0,9.0,5.0,90.0,77.0,330.0,3.5,3.5,65,45.0,800.0,0.15,420,sample_598,0,0,82800,82800,82800,82800,0,82800,0,84600,0,82800,0,82800,0,79200,77400,79200,79200,79200,0,0
300,,405.0,700,29.0,,102,103.0,0.2,104.0,105.0,0.2,200,50.0,9.0,5.0,80.0,73.0,320.0,3.5,3.5,80,45.0,1200.0,0.15,420,sample_1800,0,0,79200,82800,82800,82800,0,82800,0,82800,0,82800,0,82800,0,79200,0,81000,0,81000,0,82800
300,,405.0,700,23.0,,100,105.0,0.2,107.0,107.0,0.2,300,50.0,9.0,5.0,70.0,78.0,310.0,3.5,3.5,65,46.0,800.0,0.15,400,sample_394,0,0,82800,82800,82800,82800,85800,84600,85200,84600,0,82800,84600,82800,0,79200,85800,82800,85200,82200,0,0
300,,405.0,700,29.0,,101,103.0,0.2,104.0,105.0,0.2,200,50.0,9.0,5.0,78.0,73.0,320.0,3.5,3.5,80,45.0,1200.0,0.15,400,sample_1146,0,0,79200,82800,82800,82800,0,82800,0,82800,0,82800,0,82800,0,79200,0,81000,0,81000,0,82800
300,,405.0,700,29.0,,102,103.0,0.2,105.0,106.0,0.2,200,50.0,9.0,5.0,80.0,73.0,320.0,3.5,3.5,80,45.0,1200.0,0.15,420,sample_149,0,0,79200,82800,82800,82800,0,82800,0,82800,0,82800,0,82800,0,79200,0,81000,0,81000,0,82800
300,,405.0,700,29.0,,100,102.0,0.2,104.0,106.0,0.2,200,50.0,9.0,5.0,80.0,73.0,320.0,3.5,3.5,78,45.0,1200.0,0.15,400,sample_1750,0,0,79200,82800,82800,82800,0,82800,0,82800,0,82800,0,82800,0,79200,0,81000,0,81000,0,81000
300,,405.0,700,30.0,,102,103.0,0.2,104.0,105.0,0.2,200,50.0,9.0,5.0,80.0,73.0,320.0,3.5,3.5,80,45.0,1200.0,0.15,440,sample_1977,0,0,79200,82800,82800,82800,0,82800,0,82800,0,82800,0,82800,0,79200,0,81000,0,81000,0,82800
300,,405.0,700,30.0,,101,104.0,0.2,106.0,107.0,0.2,200,50.0,9.0,5.0,78.0,73.0,320.0,3.5,3.5,80,45.0,1200.0,0.15,420,sample_1830,0,0,79200,82800,82800,82800,0,82800,0,82800,0,82800,0,82800,0,79200,0,81000,0,81000,0,82800
300,,405.0,700,27.0,,102,103.0,0.2,104.0,105.0,0.2,200,50.0,9.0,5.0,80.0,73.0,320.0,3.5,3.5,80,45.0,1200.0,0.15,440,sample_818,0,0,79200,82800,82800,82800,0,82800,0,82800,0,82800,0,82800,0,79200,0,72000,0,0,0,0
300,,405.0,700,40.0,80.0,100,102.0,0.2,102.0,104.0,0.2,300,50.0,9.0,5.0,70.0,75.0,300.0,3.5,3.5,60,45.0,800.0,0.15,400,sample_881,0,85500,80700,82800,82800,82800,78600,84600,0,84600,48600,84600,0,81000,0,77400,82800,79200,84600,79200,0,0
300,,405.0,700,30.0,,101,102.0,0.2,104.0,105.0,0.2,200,50.0,9.0,5.0,78.0,73.0,320.0,3.5,3.5,80,45.0,1200.0,0.15,400,sample_77,0,0,79200,82800,82800,82800,0,82800,0,82800,0,82800,0,82800,0,79200,0,81000,0,81000,0,82800
300,,405.0,700,29.0,,102,103.0,0.2,104.0,105.0,0.2,200,50.0,9.0,5.0,78.0,73.0,320.0,3.5,3.5,80,45.0,1200.0,0.15,420,sample_1240,0,0,79200,82800,82800,82800,0,82800,0,82800,0,82800,57600,82800,0,79200,0,81000,0,81000,0,82800
300,,405.0,700,21.0,,100,101.0,0.2,103.0,105.0,0.2,300,40.0,9.0,5.0,70.0,78.0,300.0,3.5,3.5,65,40.0,800.0,0.15,390,sample_309,0,0,81000,82800,82800,82800,79200,84600,0,84600,63000,82800,0,81000,0,77400,82800,81000,82800,81000,0,0
300,,405.0,700,30.0,,100,103.0,0.2,105.0,106.0,0.2,200,50.0,9.0,5.0,80.0,73.0,320.0,3.5,3.5,78,45.0,1200.0,0.15,420,sample_90,0,0,79200,82800,82800,82800,0,82800,0,82800,0,82800,0,82800,0,79200,0,81000,0,81000,0,82800
300,,405.0,700,22.0,,100,102.0,0.2,102.0,103.0,0.2,300,40.0,9.0,5.0,70.0,78.0,300.0,3.5,3.5,60,40.0,800.0,0.15,400,sample_1447,0,0,82800,82800,82800,82800,73800,84600,0,84600,63000,82800,0,81000,0,75600,73800,81000,84000,79800,0,0
300,,405.0,700,20.0,,100,105.0,0.2,107.0,107.0,0.2,300,50.0,9.0,5.0,70.0,76.0,350.0,3.5,3.5,70,45.0,800.0,0.15,400,sample_1584,0,0,82800,82800,82800,82800,0,84600,84600,84600,0,82800,0,82800,0,79200,0,81600,85200,81600,0,0
300,,405.0,700,24.0,,100,104.2,0.2,103.9,103.6,0.2,300,35.0,9.0,5.0,70.0,78.0,320.0,3.5,3.5,60,40.0,800.0,0.15,400,sample_23,0,0,81000,82800,82800,82800,77400,84600,0,84600,66600,82800,0,82800,0,66600,82800,81000,84600,81000,0,0
300,,405.0,700,29.0,,102,103.0,0.2,104.0,105.0,0.2,200,50.0,9.0,5.0,80.0,73.0,320.0,3.5,3.5,80,45.0,1200.0,0.15,400,sample_1188,0,0,79200,82800,82800,82800,0,82800,0,82800,0,82800,0,82800,0,79200,0,81000,0,81000,0,82800
300,,405.0,700,65.0,,101,104.0,0.2,103.0,104.0,0.2,300,50.0,9.0,5.0,70.0,75.0,350.0,3.5,3.5,65,45.0,800.0,0.15,400,sample_1461,0,0,74700,82800,82800,82800,0,84600,0,84600,68400,84600,0,82800,0,77400,75600,81000,84600,79200,0,0
300,,405.0,700,29.0,,102,103.0,0.2,104.0,105.0,0.2,200,50.0,9.0,5.0,78.0,73.0,320.0,3.5,3.5,80,45.0,1200.0,0.15,400,sample_1691,0,0,79200,82800,82800,82800,0,82800,0,82800,0,82800,0,82800,0,79200,0,81000,0,81000,0,82800
300,,405.0,700,32.0,80.0,100,102.0,0.2,103.0,102.0,0.2,300,50.0,9.0,5.0,70.0,75.0,300.0,3.5,3.5,50,28.0,800.0,0.15,785,sample_316,0,85200,79800,82800,82800,82800,70800,84600,0,84600,57600,84600,0,79200,0,72000,0,82800,81000,81000,0,0
300,125.0,,980,24.0,,100,102.0,0.2,102.0,102.0,0.2,300,40.0,9.0,5.0,70.0,78.0,310.0,3.5,3.5,60,40.0,800.0,0.15,400,sample_299,0,0,81000,82800,82800,82800,84600,84600,84600,84600,50400,82800,0,82800,0,79200,81000,81000,84600,81000,0,0
300,,405.0,700,29.0,,102,103.0,0.2,103.0,104.0,0.2,200,50.0,9.0,5.0,70.0,78.0,300.0,3.5,3.5,60,36.0,800.0,0.15,400,sample_459,0,0,82800,82800,82800,82800,84600,84600,84600,84600,0,82800,0,81000,0,81000,68400,81000,82800,81000,0,0
300,,405.0,700,21.0,,100,101.0,0.2,103.0,105.0,0.2,200,50.0,10.0,5.0,70.0,77.0,300.0,3.5,3.5,60,40.0,800.0,0.15,400,sample_462,0,0,82800,81000,82800,82800,0,84600,0,84600,0,82800,0,73800,0,64800,85200,79800,85200,82800,0,0
300,,405.0,700,29.0,,101,102.0,0.2,103.0,103.0,0.2,200,50.0,9.0,5.0,78.0,73.0,320.0,3.5,3.5,80,45.0,1200.0,0.15,420,sample_1730,0,0,79200,82800,82800,82800,0,82800,0,82800,0,82800,0,82800,0,79200,0,81000,0,81000,0,82800
300,,405.0,700,30.0,,101,103.0,0.2,105.0,107.0,0.2,200,50.0,9.0,5.0,78.0,73.0,320.0,3.5,3.5,80,45.0,1200.0,0.15,420,sample_689,0,0,79200,82800,82800,82800,0,82800,0,82800,0,82800,0,82800,0,79200,0,81000,0,81000,0,82800
300,,405.0,700,30.0,,103,104.0,0.2,105.0,106.0,0.2,200,50.0,9.0,5.0,80.0,73.0,320.0,3.5,3.5,80,45.0,1200.0,0.15,440,sample_1943,0,0,79200,82800,82800,82800,0,82800,0,82800,0,82800,0,82800,0,79200,0,72000,0,0,0,0
200,,270.0,470,26.0,,100,103.0,0.2,102.0,103.0,0.2,300,25.0,10.0,5.0,70.0,78.0,190.0,3.5,3.5,63,45.0,400.0,0.15,280,sample_1043,0,0,81000,82800,82800,82800,0,84600,84600,84600,0,82800,0,81000,0,77400,72000,79200,0,0,0,0
300,,405.0,700,38.0,80.0,100,104.0,0.2,102.0,104.0,0.2,300,50.0,9.0,5.0,70.0,75.0,370.0,3.5,3.5,52,45.0,800.0,0.15,400,sample_919,0,85800,22800,54000,82800,82800,82200,84600,0,84600,52200,84600,0,79200,0,81000,0,81000,84600,81000,0,0
300,,405.0,700,29.0,,101,103.0,0.2,104.0,105.0,0.2,200,50.0,9.0,5.0,80.0,73.0,320.0,3.5,3.5,80,45.0,1200.0,0.15,400,sample_1104,0,0,79200,82800,82800,82800,0,82800,0,82800,0,82800,3600,82800,0,79200,0,81000,0,81000,0,82800
300,,405.0,700,39.0,81.0,100,103.0,0.2,104.0,103.0,0.2,300,50.0,9.0,5.0,70.0,75.0,370.0,3.5,3.5,49,35.0,800.0,0.15,400,sample_348,0,85500,80100,82800,82800,82800,84600,84600,0,82800,55800,84600,0,82800,0,72000,0,81000,79200,81000,0,0
300,,405.0,700,21.0,,100,102.0,0.2,103.0,107.0,0.2,200,50.0,9.0,5.0,,,380.0,3.5,3.5,70,50.0,800.0,0.15,400,sample_123,0,0,81000,82800,82800,82800,0,82800,84600,84600,0,82800,0,82800,0,79200,0,81000,0,81000,0,0
300,,405.0,700,29.0,,102,103.0,0.2,104.0,105.0,0.2,200,50.0,9.0,5.0,80.0,73.0,320.0,3.5,3.5,80,45.0,1200.0,0.15,400,sample_1645,0,0,79200,82800,82800,82800,0,82800,0,82800,0,82800,0,82800,0,79200,0,81000,0,81000,0,82800
300,,405.0,700,60.0,,101,102.0,0.2,102.0,103.0,0.2,300,50.0,10.0,5.0,70.0,75.0,350.0,3.5,3.5,60,45.0,800.0,0.15,390,sample_1522,0,0,79200,82800,82800,82800,0,84600,0,84600,57600,82800,0,79200,0,79200,77400,81000,0,77400,0,0
300,,405.0,700,29.0,,102,103.0,0.2,105.0,107.0,0.2,200,50.0,9.0,5.0,79.0,73.0,320.0,3.5,3.5,80,45.0,1200.0,0.15,400,sample_1874,0,0,79200,82800,82800,82800,0,82800,0,82800,0,82800,0,82800,0,79200,0,81000,0,81000,0,82800
300,125.0,,980,24.0,,100,102.0,0.2,103.0,105.0,0.2,300,40.0,10.0,5.0,70.0,78.0,320.0,3.5,3.5,65,40.0,800.0,0.15,400,sample_295,0,0,81000,82800,82800,82800,77400,84600,84600,84600,66600,82800,0,82800,0,79200,68400,81000,84600,81000,0,0
300,,405.0,700,23.0,,100,104.0,0.2,106.0,108.0,0.2,300,50.0,10.0,5.0,70.0,80.0,,3.5,3.5,67,46.0,900.0,0.15,400,sample_954,0,0,82800,82800,82800,82800,85800,84600,85200,84600,0,82800,84600,82800,0,79200,85800,82800,85800,82200,0,0
300,,405.0,700,38.0,,101,103.0,0.2,102.0,104.0,0.2,300,50.0,9.0,5.0,70.0,75.0,350.0,3.5,3.5,65,45.0,800.0,0.15,400,sample_1529,0,0,81000,82800,82800,82800,70200,84600,84600,84600,66000,84600,600,79200,0,75600,0,79200,84600,79200,0,0
300,,405.0,700,27.0,,102,104.0,0.2,105.0,106.0,0.2,200,50.0,9.0,5.0,80.0,73.0,320.0,3.5,3.5,80,45.0,1200.0,0.15,440,sample_722,0,0,81000,82800,82800,82800,0,82800,0,82800,0,82800,0,82800,0,81000,0,72000,0,0,0,0
300,,405.0,700,29.0,,101,103.0,0.2,104.0,105.0,0.2,200,50.0,9.0,5.0,80.0,73.0,320.0,3.5,3.5,80,45.0,1200.0,0.15,400,sample_1703,0,0,79200,82800,82800,82800,0,82800,0,82800,0,82800,0,82800,0,79200,0,81000,0,81000,0,82800
300,,405.0,700,21.0,,100,102.0,0.2,103.0,105.0,0.2,300,50.0,9.0,5.0,70.0,70.0,360.0,3.5,3.5,65,45.0,800.0,0.15,400,sample_1524,0,0,82800,82800,82800,82800,79200,84600,34200,84600,34200,84600,0,79200,0,70200,0,81000,82800,81000,0,0
300,,405.0,700,21.0,,100,103.0,0.2,105.0,108.0,0.2,200,50.0,9.0,5.0,71.0,79.0,380.0,3.5,3.5,76,48.0,800.0,0.15,420,sample_125,0,0,81000,82800,82800,82800,0,82800,84600,84600,0,82800,0,82800,0,79200,0,81000,0,81000,0,0
300,,405.0,700,27.0,,102,103.0,0.2,104.0,105.0,0.2,200,50.0,9.0,5.0,80.0,73.0,320.0,3.5,3.5,80,45.0,1200.0,0.15,440,sample_1922,0,0,79200,82800,82800,82800,0,82800,0,82800,0,82800,0,82800,0,79200,0,72000,0,0,0,0
300,,405.0,700,29.0,,101,102.0,0.2,103.0,105.0,0.2,200,50.0,9.0,5.0,80.0,73.0,320.0,3.5,3.5,78,45.0,1200.0,0.15,400,sample_1186,0,0,79200,82800,82800,82800,0,82800,0,82800,0,82800,0,82800,0,79200,0,81000,0,81000,0,82800
300,,405.0,700,38.0,80.0,100,102.0,0.2,104.0,104.0,0.2,300,50.0,10.0,5.0,70.0,75.0,370.0,3.5,3.5,60,40.0,800.0,0.15,440,sample_938,0,85800,81600,82800,82800,82800,72000,84600,0,84600,59400,84600,0,79200,0,68400,0,81000,82800,81000,0,0
300,,405.0,700,29.0,,102,103.0,0.2,104.0,105.0,0.2,200,50.0,9.0,5.0,78.0,73.0,320.0,3.5,3.5,80,45.0,1200.0,0.15,400,sample_1744,0,0,79200,82800,82800,82800,0,82800,0,82800,0,82800,0,82800,0,79200,0,81000,0,81000,0,82800
300,,405.0,700,38.0,80.0,100,102.0,0.2,102.0,102.0,0.2,300,50.0,9.0,5.0,70.0,75.0,370.0,3.5,3.5,40,20.0,800.0,0.15,420,sample_936,0,85800,81600,82800,82800,82800,75600,84600,84600,84600,57600,84600,0,81000,0,68400,0,81000,84600,81000,0,0
300,,405.0,700,30.0,,102,104.0,0.2,105.0,106.0,0.2,200,50.0,9.0,5.0,80.0,73.0,320.0,3.5,3.5,80,45.0,1200.0,0.15,440,sample_1973,0,0,79200,82800,82800,82800,0,82800,0,82800,0,82800,0,82800,0,79200,0,81000,0,81000,0,82800
300,,405.0,700,26.0,,102,102.0,0.2,103.0,105.0,0.2,200,50.0,9.0,5.0,80.0,73.0,320.0,3.5,3.5,75,45.0,1200.0,0.15,400,sample_157,0,0,79200,82800,82800,82800,0,82800,0,82800,0,82800,0,82800,0,79200,0,81000,0,81000,0,82800
300,,405.0,700,40.0,,100,102.0,0.2,101.0,103.0,0.2,200,50.0,9.0,5.0,70.0,77.0,290.0,3.5,3.5,60,40.0,800.0,0.15,400,sample_1003,0,0,82800,82800,82800,82800,84600,84600,0,84600,0,84600,0,81000,0,81000,64800,81000,82800,81000,0,0
300,,405.0,700,19.0,,100,102.0,0.2,102.0,102.0,0.2,300,40.0,9.0,5.0,70.0,78.0,300.0,3.5,3.5,65,40.0,800.0,0.15,420,sample_1407,0,0,84600,82800,82800,82800,77400,84600,0,84600,57600,82800,0,82800,0,75600,72000,73800,5400,81000,0,0
300,,405.0,700,24.0,,100,101.0,0.2,103.0,103.0,0.2,300,50.0,10.0,5.0,70.0,78.0,340.0,3.5,3.5,65,45.0,800.0,0.15,440,sample_1057,0,0,81000,82800,82800,82800,84600,82800,84600,84600,70200,82800,0,82800,0,77400,82800,73800,84600,81000,0,0
300,,405.0,700,29.0,,101,103.0,0.2,104.0,105.0,0.2,200,50.0,9.0,5.0,80.0,73.0,320.0,3.5,3.5,80,45.0,1200.0,0.15,400,sample_1783,0,0,79200,82800,82800,82800,0,82800,0,82800,0,82800,0,82800,0,79200,0,81000,0,81000,0,82800
300,,405.0,700,24.0,,100,101.0,0.2,101.0,102.0,0.2,300,50.0,10.0,5.0,70.0,78.0,300.0,3.5,3.5,60,40.0,800.0,0.15,420,sample_48,0,0,82800,82800,82800,82800,82800,84600,0,84600,68400,82800,0,81000,1800,75600,81000,79200,84600,81000,0,0
300,,405.0,700,29.0,,102,103.0,0.2,104.0,105.0,0.2,200,50.0,9.0,5.0,80.0,73.0,320.0,3.5,3.5,80,45.0,1200.0,0.15,460,sample_263,0,0,79200,82800,82800,82800,0,82800,0,82800,0,82800,0,82800,0,79200,0,72000,0,0,0,0
300,,405.0,700,30.0,,101,103.0,0.2,104.0,105.0,0.2,200,50.0,9.0,5.0,80.0,73.0,320.0,3.5,3.5,78,45.0,1200.0,0.15,400,sample_678,0,0,79200,82800,82800,82800,0,82800,0,82800,0,82800,0,82800,0,79200,0,81000,0,81000,0,82800
300,,405.0,700,39.0,80.0,100,103.0,0.2,102.0,102.0,0.2,300,50.0,9.0,5.0,70.0,75.0,300.0,3.5,3.5,65,45.0,800.0,0.15,400,sample_882,0,85500,80100,82800,82800,82800,68400,84600,84600,84600,61200,84600,0,79200,0,77400,77400,79200,82800,82800,0,0
